"","Group.1","Group.2","Group.3","x"
"1",2010,"April",1,726.166666666667
"2",2011,"April",1,812.401960784314
"3",2012,"April",1,639.532407407407
"4",2013,"April",1,467.981481481481
"5",2014,"April",1,642.013440860215
"6",2015,"April",1,719.157407407407
"7",2016,"April",1,819.789682539683
"8",2017,"April",1,595.171052631579
"9",2018,"April",1,564.362847222222
"10",2019,"April",1,598.153911564626
"11",2009,"August",1,535.009803921569
"12",2010,"August",1,386.094907407407
"13",2011,"August",1,602.362745098039
"14",2012,"August",1,669.939814814815
"15",2013,"August",1,687.411458333333
"16",2014,"August",1,579.194444444444
"17",2015,"August",1,568.060897435897
"18",2016,"August",1,561.313492063492
"19",2017,"August",1,622.667763157895
"20",2018,"August",1,645.084935897436
"21",2009,"December",1,688.155092592593
"22",2010,"December",1,726.479166666667
"23",2011,"December",1,745.642156862745
"24",2012,"December",1,592.081018518518
"25",2013,"December",1,556.557471264368
"26",2014,"December",1,608.5234375
"27",2015,"December",1,651.197916666667
"28",2016,"December",1,690.278846153846
"29",2017,"December",1,561.367021276596
"30",2018,"December",1,623.24
"31",2010,"February",1,600.391203703704
"32",2011,"February",1,546.137254901961
"33",2012,"February",1,673.50462962963
"34",2013,"February",1,708.75462962963
"35",2014,"February",1,601.438802083333
"36",2015,"February",1,416.203703703704
"37",2016,"February",1,620.535714285714
"38",2017,"February",1,579.039473684211
"39",2018,"February",1,640.092013888889
"40",2019,"February",1,614.722222222222
"41",2010,"January",1,439.916666666667
"42",2011,"January",1,516.495098039216
"43",2012,"January",1,503.659722222222
"44",2013,"January",1,520.799019607843
"45",2014,"January",1,493.220052083333
"46",2015,"January",1,595.407828282828
"47",2016,"January",1,540.569791666667
"48",2017,"January",1,539.640350877193
"49",2018,"January",1,555.960144927536
"50",2019,"January",1,469.195578231293
"51",2009,"July",1,660.774509803922
"52",2010,"July",1,665.423611111111
"53",2011,"July",1,753.583333333333
"54",2012,"July",1,388.803240740741
"55",2013,"July",1,643.174019607843
"56",2014,"July",1,589.330729166667
"57",2015,"July",1,637.164634146341
"58",2016,"July",1,734.781746031746
"59",2017,"July",1,641.686458333333
"60",2018,"July",1,489.053333333333
"61",2019,"July",1,535.124183006536
"62",2009,"June",1,610.605392156863
"63",2010,"June",1,606.162037037037
"64",2011,"June",1,629.649509803922
"65",2012,"June",1,779.400462962963
"66",2013,"June",1,460.09068627451
"67",2014,"June",1,407.67297979798
"68",2015,"June",1,532.899390243902
"69",2016,"June",1,626.561046511628
"70",2017,"June",1,573.281531531532
"71",2018,"June",1,681.922743055556
"72",2019,"June",1,480.619391025641
"73",2010,"March",1,649.185185185185
"74",2011,"March",1,699.315104166667
"75",2012,"March",1,729.844907407407
"76",2013,"March",1,798.803240740741
"77",2014,"March",1,621.215053763441
"78",2015,"March",1,552.924768518518
"79",2016,"March",1,675.909542743539
"80",2017,"March",1,629.541666666667
"81",2018,"March",1,709.988715277778
"82",2019,"March",1,624.984166666667
"83",2009,"May",1,829.086111111111
"84",2010,"May",1,558.469907407407
"85",2011,"May",1,386.495098039216
"86",2012,"May",1,687.12037037037
"87",2013,"May",1,642.798611111111
"88",2014,"May",1,639.1375
"89",2015,"May",1,818.222587719298
"90",2016,"May",1,433.197154471545
"91",2017,"May",1,563.256756756757
"92",2018,"May",1,629.735243055556
"93",2019,"May",1,615.119281045752
"94",2009,"November",1,415.685185185185
"95",2010,"November",1,758.651960784314
"96",2011,"November",1,325.441176470588
"97",2012,"November",1,623.081018518518
"98",2013,"November",1,733.686111111111
"99",2014,"November",1,464.916666666667
"100",2015,"November",1,477.309829059829
"101",2016,"November",1,374.964743589744
"102",2017,"November",1,628.101449275362
"103",2018,"November",1,605.897058823529
"104",2009,"October",1,694.423611111111
"105",2010,"October",1,855.323529411765
"106",2011,"October",1,380.997549019608
"107",2012,"October",1,711.986111111111
"108",2013,"October",1,593.487654320988
"109",2014,"October",1,632.520202020202
"110",2015,"October",1,790.337398373984
"111",2016,"October",1,549.951219512195
"112",2017,"October",1,485.973320158103
"113",2018,"October",1,650.711538461538
"114",2009,"September",1,621.014705882353
"115",2010,"September",1,632.682291666667
"116",2011,"September",1,631.450980392157
"117",2012,"September",1,596.108796296296
"118",2013,"September",1,495.505208333333
"119",2014,"September",1,476.633838383838
"120",2015,"September",1,601.953125
"121",2016,"September",1,643.0875
"122",2017,"September",1,716.605691056911
"123",2018,"September",1,515.652777777778
"124",2010,"April",2,374.347222222222
"125",2011,"April",2,526.147058823529
"126",2012,"April",2,743.053240740741
"127",2013,"April",2,634.733796296296
"128",2014,"April",2,634.961021505376
"129",2015,"April",2,777.540509259259
"130",2016,"April",2,638.24503968254
"131",2017,"April",2,519.815170940171
"132",2018,"April",2,496.145408163265
"133",2019,"April",2,670.164115646259
"134",2009,"August",2,443.245098039216
"135",2010,"August",2,605.532407407407
"136",2011,"August",2,635.09068627451
"137",2012,"August",2,676.090277777778
"138",2013,"August",2,732.953125
"139",2014,"August",2,542.951388888889
"140",2015,"August",2,458.42735042735
"141",2016,"August",2,651.772357723577
"142",2017,"August",2,621.333333333333
"143",2018,"August",2,653.969551282051
"144",2009,"December",2,722.215277777778
"145",2010,"December",2,735.963541666667
"146",2011,"December",2,827.941176470588
"147",2012,"December",2,517.678240740741
"148",2013,"December",2,612.304597701149
"149",2014,"December",2,649.053385416667
"150",2015,"December",2,676.369791666667
"151",2016,"December",2,769.17094017094
"152",2017,"December",2,366.584219858156
"153",2018,"December",2,454.96160130719
"154",2010,"February",2,580.638888888889
"155",2011,"February",2,653.696078431373
"156",2012,"February",2,697.337962962963
"157",2013,"February",2,568.587962962963
